"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"10Kohm_1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10KOhm";;;
2;"10uF_1, 10uF_2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
3;"330ohm_1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330Ohm";;;
4;"J1";"USB_A_Molex_48037-2200_Horizontal";1;"USB_A";;;
5;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
6;"led_1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"led";;;
7;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
8;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
